PhraseId,Sentiment
942,2
3205,2
7705,2
5464,2
523,3
3994,2
2969,3
8297,4
391,2
1009,2
3344,1
5863,2
5298,2
5259,2
6447,2
2227,1
3900,2
3856,2
1736,2
93,1
4259,2
1790,1
7643,2
4346,3
5989,3
2965,0
4317,1
3424,2
4016,1
5714,1
1929,3
1411,1
2921,3
6867,2
7923,2
6120,2
100,2
3069,3
3549,1
5028,2
2610,2
1443,1
2509,2
7170,1
7002,3
546,2
3007,3
3326,1
4106,2
5242,4
1432,2
3808,1
4698,4
2815,2
6710,2
1412,2
1569,2
1276,2
2633,2
7555,3
5887,2
5889,2
149,2
3131,2
8182,2
1462,1
6808,4
726,2
8506,2
1036,2
1407,2
3113,2
2652,2
2670,3
5699,2
1032,3
4626,2
4113,3
2974,2
4697,2
3446,2
4483,2
7502,1
5736,1
5777,2
3181,3
7629,3
6762,2
3375,2
126,3
8502,2
81,2
3488,2
7202,3
4648,1
5157,2
3248,2
6183,2
1573,3
3757,2
2562,3
3210,2
8409,2
8148,2
6349,3
3232,1
4103,2
5444,3
6120,3
6746,0
948,3
5669,2
7476,2
2371,2
3947,1
3204,2
1348,3
7545,2
5641,2
4092,3
8066,3
6075,3
3691,1
5610,2
6703,3
5480,2
1650,2
5987,2
3866,2
1916,2
3386,2
3017,3
7925,2
6685,1
5403,2
4133,2
6927,3
4572,2
1808,3
3631,3
2476,2
6777,2
1587,3
3775,2
589,2
822,2
598,2
6531,1
3776,2
7242,2
4773,3
3636,2
4763,4
2375,3
7122,2
7962,2
5304,2
7297,1
5573,2
1066,2
3995,2
6412,2
1408,4
5272,2
1533,2
6928,2
1400,2
5751,2
8497,2
601,2
6731,3
3940,2
5352,3
1955,2
1884,2
534,2
346,2
1955,2
1132,2
6808,2
2415,1
3135,2
8057,2
8518,3
245,2
6285,2
6271,3
1403,3
8077,2
503,2
4873,3
557,1
4099,0
915,2
2159,2
182,3
6778,3
7413,3
3631,2
8169,0
7987,2
188,3
2255,4
5285,1
563,2
1597,1
5032,2
4485,3
323,1
4870,2
117,2
1229,2
512,2
2344,2
6854,1
2770,1
1276,3
1865,2
7656,2
6590,2
3577,2
8255,2
50,4
4284,2
6896,1
7692,1
584,2
6011,2
898,2
5192,2
345,2
650,1
8365,4
2776,1
780,2
4386,2
4969,4
2755,2
4850,2
8494,1
3401,2
8178,0
2164,2
351,2
4992,2
3833,4
6747,3
8152,3
6597,2
1466,1
2622,3
6164,2
8441,4
3626,3
7058,1
2143,2
756,2
3255,3
3743,0
1396,2
1763,2
1042,1
3927,2
6933,2
97,0
3118,2
6625,2
3448,3
197,2
5044,2
4953,3
7290,2
4504,3
2290,4
5276,2
3176,4
4920,2
8084,2
5052,0
4259,2
1404,2
6185,2
1519,1
499,3
3321,1
3577,2
3693,3
2668,2
87,2
3748,3
5903,1
1005,2
4058,2
6931,2
4722,2
5122,2
3599,2
2323,2
7794,2
2975,2
4973,2
7961,1
7669,3
3503,2
82,2
5865,2
1778,2
153,2
165,2
5876,3
1734,1
184,3
6289,2
5526,2
5066,2
5431,4
3926,3
6138,2
3857,2
5399,1
1678,3
7822,1
6674,2
6295,2
4094,1
5618,2
5906,1
